Date,Close
02-Dec-2019,12048.20
03-Dec-2019,11994.20
04-Dec-2019,12043.20
05-Dec-2019,12018.40
06-Dec-2019,11921.50
09-Dec-2019,11937.50
10-Dec-2019,11856.80
11-Dec-2019,11910.15
12-Dec-2019,11971.80
13-Dec-2019,12086.70
16-Dec-2019,12053.95
17-Dec-2019,12165.00
18-Dec-2019,12221.65
19-Dec-2019,12259.70
20-Dec-2019,12271.80
23-Dec-2019,12262.75
24-Dec-2019,12214.55
26-Dec-2019,12126.55
27-Dec-2019,12245.80
30-Dec-2019,12255.85
31-Dec-2019,12168.45
